building_id,neutral_temp,records,cooling_type,region,t_out_mean
635,24.730707284603398,745,naturally ventilated,americas,14.818747203579418
636,21.640624390290007,663,naturally ventilated,americas,10.701758214050196
638,29.75965909090911,13,air conditioned,asia,31.9
639,27.84873797019877,382,mixed mode,asia,33.848731408573926
640,31.780584940883635,32,naturally ventilated,asia,32.84622395833333
647,26.705599999999997,49,air conditioned,asia,29.2359268707483
648,25.350794223826714,110,mixed mode,asia,25.418153907496013
649,31.67142857142856,10,naturally ventilated,asia,26.906666666666666
653,29.074073423502547,101,air conditioned,asia,26.785299779977997
654,26.512077561406937,1527,mixed mode,asia,26.67369842829077
655,28.432867036960836,152,air conditioned,asia,31.18354349415205
656,26.897471333591366,1127,mixed mode,asia,30.651273045450065
657,25.033133153862074,70,air conditioned,asia,26.041830357142857
658,27.0380342502481,1830,mixed mode,asia,24.354014875531266
659,28.428706727629013,58,naturally ventilated,asia,24.42367097701149
660,26.301920581365163,63,air conditioned,asia,31.11359126984127
661,27.29023182273184,1085,mixed mode,asia,30.478803123399896
662,30.788721264367812,35,naturally ventilated,asia,28.91051587301587
664,24.345818281911917,84,air conditioned,americas,28.896725063131314
671,22.654170472503743,782,mixed mode,americas,10.449488491048593
672,23.888261308356117,566,mixed mode,americas,18.07204554416961
673,23.687989442319484,587,mixed mode,americas,28.37791027768313
674,22.783698575949376,545,mixed mode,americas,3.4479102972477067
684,24.971621813699052,355,mixed mode,asia,22.27284820031299
685,23.869999192767185,167,naturally ventilated,asia,17.441641716566867
686,24.669107429182244,424,air conditioned,asia,27.65
687,26.47234185410773,367,naturally ventilated,asia,25.025106382978727
688,26.039690478779313,200,air conditioned,asia,24.7
689,26.7816199376947,160,naturally ventilated,asia,23.7546875
690,25.831099854624753,399,air conditioned,asia,26.58277290448343
691,28.57078226208271,189,naturally ventilated,asia,26.210192533803646
692,25.780064630299293,200,air conditioned,asia,32.294444444444444
693,34.27773141122914,90,naturally ventilated,asia,32.91111111111111
694,23.93935965104194,430,air conditioned,asia,31.23691860465116
695,28.867854499652076,525,mixed mode,asia,30.871448412698413
696,24.21509213880037,196,air conditioned,asia,12.395833333333334
697,20.586185259301956,237,mixed mode,asia,11.587992264416314
698,21.933419350623897,425,mixed mode,asia,28.909859154929578
699,23.92021614533633,533,naturally ventilated,asia,32.62636022514071
701,16.405534531693466,241,naturally ventilated,asia,13.4
728,25.553014345378614,91,air conditioned,asia,23.348351648351645
729,26.633269856383425,150,mixed mode,asia,25.7567568627451
730,26.679638439581343,159,naturally ventilated,asia,24.078484165154535
731,26.16972111553786,251,air conditioned,asia,22.483817112502372
732,26.68409090909091,31,naturally ventilated,asia,21.391705069124423
733,25.98761840324762,167,air conditioned,asia,22.63819860279441
734,25.950000000000006,6,naturally ventilated,asia,22.649999999999995
735,24.209891690676976,629,air conditioned,asia,29.154272655007947
736,28.61653846153846,23,naturally ventilated,asia,27.53125
737,24.37520278099652,99,air conditioned,asia,28.469928451178447
738,24.267827106025095,387,air conditioned,asia,28.905321675302243
739,23.50526315789474,56,air conditioned,asia,25.815476190476186
741,24.646172638436475,54,mixed mode,europe,20.87241512345679
742,25.945454545454538,15,naturally ventilated,europe,22.05
745,22.474031600407738,81,mixed mode,europe,4.333867521367522
746,22.629560585885486,60,naturally ventilated,europe,4.440982551487414
761,24.10845400857536,142,naturally ventilated,europe,16.81106954225352
763,20.83784167554135,134,naturally ventilated,europe,9.983255597014926
771,23.439682733374,161,air conditioned,europe,15.119836956521741
772,23.082807731434386,94,air conditioned,europe,2.571259805501827
779,28.21061857774348,118,air conditioned,asia,28.855652173913043
